incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url,financial_penalty_usd
INC-2026-02-0001,2026-004-23,"P0 - Critical Outage","Slurm GPU Out of Memory",Search Reranker,22,101,YES (Credit Issued),"Devon Vance",https://wiki.helixforge.internal/postmortems/INC-2026-02-0001.md,45626
INC-2026-02-0002,2026-006-27,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Search Reranker,3,124,NO,"Isla Moreau",https://wiki.helixforge.internal/postmortems/INC-2026-02-0002.md,0
INC-2026-02-0003,2026-003-28,"P1 - Major Degradation","Corrupted Vector Index Partition",Workday Single Sign-On,17,206,NO,"Siddharth Watanabe",https://wiki.helixforge.internal/postmortems/INC-2026-02-0003.md,0
INC-2026-02-0004,2026-001-07,"P0 - Critical Outage","Expired TLS Certificate",Expensify Sync,18,73,YES (Credit Issued),"Gabriel Hoffmann",https://wiki.helixforge.internal/postmortems/INC-2026-02-0004.md,18589
INC-2026-02-0005,2026-001-02,"P1 - Major Degradation","Upstream Provider Outage",Workday Single Sign-On,8,53,NO,"Isla Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-02-0005.md,0
INC-2026-02-0006,2026-004-17,"P2 - Minor Component Issue","Expired TLS Certificate",Workday Single Sign-On,13,132,NO,"Dmitri Santos",https://wiki.helixforge.internal/postmortems/INC-2026-02-0006.md,0
INC-2026-02-0007,2026-004-15,"P2 - Minor Component Issue","BGP Route Flapping",Workday Single Sign-On,25,36,NO,"Dominic Hoffmann",https://wiki.helixforge.internal/postmortems/INC-2026-02-0007.md,0
INC-2026-02-0008,2026-003-01,"P0 - Critical Outage","Database Connection Pool Exhaustion",Vector Engine API,25,96,YES (Credit Issued),"Elena O'Connor",https://wiki.helixforge.internal/postmortems/INC-2026-02-0008.md,23435
INC-2026-02-0009,2026-005-18,"P0 - Critical Outage","BGP Route Flapping",Expensify Sync,8,37,NO,"Fatima Chen",https://wiki.helixforge.internal/postmortems/INC-2026-02-0009.md,0
INC-2026-02-0010,2026-001-25,"P1 - Major Degradation","Upstream Provider Outage",Search Reranker,13,191,NO,"Ava Wong",https://wiki.helixforge.internal/postmortems/INC-2026-02-0010.md,0
INC-2026-02-0011,2026-006-18,"P1 - Major Degradation","Upstream Provider Outage",Expensify Sync,7,104,NO,"Tariq Moreau",https://wiki.helixforge.internal/postmortems/INC-2026-02-0011.md,0
INC-2026-02-0012,2026-001-09,"P0 - Critical Outage","Upstream Provider Outage",Workday Single Sign-On,18,97,YES (Credit Issued),"Lucas Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-02-0012.md,35558
INC-2026-02-0013,2026-001-04,"P2 - Minor Component Issue","Upstream Provider Outage",Search Reranker,7,219,NO,"Fatima Watanabe",https://wiki.helixforge.internal/postmortems/INC-2026-02-0013.md,0
INC-2026-02-0014,2026-006-19,"P2 - Minor Component Issue","BGP Route Flapping",Workday Single Sign-On,21,110,NO,"Mina Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-02-0014.md,0
INC-2026-02-0015,2026-002-09,"P2 - Minor Component Issue","Upstream Provider Outage",Workday Single Sign-On,20,68,NO,"Yuki Voss",https://wiki.helixforge.internal/postmortems/INC-2026-02-0015.md,0
INC-2026-02-0016,2026-003-25,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Expensify Sync,20,168,NO,"Devon O'Connor",https://wiki.helixforge.internal/postmortems/INC-2026-02-0016.md,0
INC-2026-02-0017,2026-006-26,"P2 - Minor Component Issue","Upstream Provider Outage",Vector Engine API,4,177,NO,"Carlos Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-02-0017.md,0
INC-2026-02-0018,2026-006-26,"P2 - Minor Component Issue","Expired TLS Certificate",Vector Engine API,24,210,NO,"Soren Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-02-0018.md,0
INC-2026-02-0019,2026-002-23,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,13,147,YES (Credit Issued),"Dmitri Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-02-0019.md,30445
INC-2026-02-0020,2026-006-06,"P1 - Major Degradation","Expired TLS Certificate",Expensify Sync,22,39,NO,"Olivia Patel",https://wiki.helixforge.internal/postmortems/INC-2026-02-0020.md,0
INC-2026-02-0021,2026-005-13,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Search Reranker,20,215,NO,"Mina Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-02-0021.md,0
INC-2026-02-0022,2026-001-02,"P1 - Major Degradation","Database Connection Pool Exhaustion",Workday Single Sign-On,19,222,NO,"Fatima Johnson",https://wiki.helixforge.internal/postmortems/INC-2026-02-0022.md,0
INC-2026-02-0023,2026-001-22,"P0 - Critical Outage","BGP Route Flapping",Workday Single Sign-On,9,106,YES (Credit Issued),"Gabriel Nair",https://wiki.helixforge.internal/postmortems/INC-2026-02-0023.md,15006
INC-2026-02-0024,2026-002-06,"P2 - Minor Component Issue","Upstream Provider Outage",Expensify Sync,16,25,NO,"Dmitri Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-02-0024.md,0
INC-2026-02-0025,2026-001-26,"P1 - Major Degradation","Expired TLS Certificate",Search Reranker,6,91,NO,"Lucas Hale",https://wiki.helixforge.internal/postmortems/INC-2026-02-0025.md,0
INC-2026-02-0026,2026-002-11,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,12,133,NO,"Lucas Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-02-0026.md,0
INC-2026-02-0027,2026-005-16,"P1 - Major Degradation","Database Connection Pool Exhaustion",Workday Single Sign-On,2,159,NO,"Fatima Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-02-0027.md,0
