incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url,financial_penalty_usd
INC-2026-08-0001,2026-003-08,"P2 - Minor Component Issue","Upstream Provider Outage",Expensify Sync,8,36,NO,"Ava Vance",https://wiki.helixforge.internal/postmortems/INC-2026-08-0001.md,0
INC-2026-08-0002,2026-002-12,"P0 - Critical Outage","BGP Route Flapping",Expensify Sync,25,149,YES (Credit Issued),"Tariq Watanabe",https://wiki.helixforge.internal/postmortems/INC-2026-08-0002.md,32198
INC-2026-08-0003,2026-001-15,"P1 - Major Degradation","Database Connection Pool Exhaustion",Vector Engine API,21,230,NO,"Ethan Silva",https://wiki.helixforge.internal/postmortems/INC-2026-08-0003.md,0
INC-2026-08-0004,2026-002-03,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Search Reranker,5,96,NO,"Chen Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-08-0004.md,0
INC-2026-08-0005,2026-002-14,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,7,102,NO,"Soren Novak",https://wiki.helixforge.internal/postmortems/INC-2026-08-0005.md,0
INC-2026-08-0006,2026-006-13,"P0 - Critical Outage","BGP Route Flapping",Expensify Sync,14,197,YES (Credit Issued),"Sarah Smith",https://wiki.helixforge.internal/postmortems/INC-2026-08-0006.md,37769
INC-2026-08-0007,2026-001-18,"P0 - Critical Outage","BGP Route Flapping",Workday Single Sign-On,11,190,YES (Credit Issued),"Tariq Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-08-0007.md,33234
INC-2026-08-0008,2026-003-21,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Vector Engine API,22,237,NO,"Tariq Nair",https://wiki.helixforge.internal/postmortems/INC-2026-08-0008.md,0
INC-2026-08-0009,2026-005-12,"P1 - Major Degradation","BGP Route Flapping",Vector Engine API,3,240,NO,"Xavier Hale",https://wiki.helixforge.internal/postmortems/INC-2026-08-0009.md,0
INC-2026-08-0010,2026-002-01,"P1 - Major Degradation","Upstream Provider Outage",Vector Engine API,13,95,NO,"Beatriz Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-08-0010.md,0
