secret_path,secret_type,target_service,rotation_frequency_days,last_rotated_timestamp,next_rotation_due,rotation_mechanism,rotation_lead,audit_status,vault_cluster_id
"kv/prod/service-001/credentials","TLS Private Key","microservice-runtime-v2",90,"2026-05-20T10:00:00Z","2026-06-10T10:00:00Z","Automated HashiCorp Vault Plugin","Sarah Patel","COMPLIANT_ROTATED","VAULT-PROD-05"
"kv/prod/service-002/credentials","Database Master Password","microservice-runtime-v3",30,"2026-05-01T10:00:00Z","2026-06-22T10:00:00Z","Automated HashiCorp Vault Plugin","Beatriz Al-Mansoor","COMPLIANT_ROTATED","VAULT-PROD-05"
"kv/prod/service-003/credentials","API Bearer Token","microservice-runtime-v4",90,"2026-05-25T10:00:00Z","2026-06-15T10:00:00Z","Automated HashiCorp Vault Plugin","Dmitri Kovacs","COMPLIANT_ROTATED","VAULT-PROD-05"
"kv/prod/service-004/credentials","Database Master Password","microservice-runtime-v5",30,"2026-05-15T10:00:00Z","2026-06-24T10:00:00Z","Manual YubiKey Escrow Procedure","Matteo Nair","COMPLIANT_ROTATED","VAULT-PROD-05"
"kv/prod/service-005/credentials","SSH CA Signing Key","microservice-runtime-v6",90,"2026-05-13T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Noah Johnson","COMPLIANT_ROTATED","VAULT-PROD-05"
"kv/prod/service-006/credentials","TLS Private Key","microservice-runtime-v7",90,"2026-05-14T10:00:00Z","2026-06-07T10:00:00Z","Automated HashiCorp Vault Plugin","Soren Bhat","COMPLIANT_ROTATED","VAULT-PROD-05"
"kv/prod/service-007/credentials","AWS IAM Credentials","microservice-runtime-v8",30,"2026-05-14T10:00:00Z","2026-06-01T10:00:00Z","Automated HashiCorp Vault Plugin","Ava Smith","COMPLIANT_ROTATED","VAULT-PROD-05"
"kv/prod/service-008/credentials","Database Master Password","microservice-runtime-v9",30,"2026-05-03T10:00:00Z","2026-06-25T10:00:00Z","Manual YubiKey Escrow Procedure","Isla Thorne","COMPLIANT_ROTATED","VAULT-PROD-05"
"kv/prod/service-009/credentials","TLS Private Key","microservice-runtime-v10",90,"2026-05-09T10:00:00Z","2026-06-05T10:00:00Z","Automated HashiCorp Vault Plugin","Ava Thorne","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-05"
"kv/prod/service-010/credentials","TLS Private Key","microservice-runtime-v1",90,"2026-05-11T10:00:00Z","2026-06-27T10:00:00Z","Automated HashiCorp Vault Plugin","Kaito Voss","COMPLIANT_ROTATED","VAULT-PROD-05"
