incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url,financial_penalty_usd
INC-2026-09-0001,2026-005-28,"P1 - Major Degradation","Slurm GPU Out of Memory",Vector Engine API,8,162,NO,"Kaito Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-09-0001.md,0
INC-2026-09-0002,2026-001-01,"P1 - Major Degradation","Expired TLS Certificate",Workday Single Sign-On,8,219,NO,"Marcus Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-09-0002.md,0
INC-2026-09-0003,2026-002-14,"P1 - Major Degradation","Database Connection Pool Exhaustion",Search Reranker,24,40,NO,"Elena Smith",https://wiki.helixforge.internal/postmortems/INC-2026-09-0003.md,0
INC-2026-09-0004,2026-006-01,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,20,138,NO,"Fatima Lin",https://wiki.helixforge.internal/postmortems/INC-2026-09-0004.md,0
INC-2026-09-0005,2026-002-01,"P0 - Critical Outage","Database Connection Pool Exhaustion",Vector Engine API,17,77,YES (Credit Issued),"Devon Vance",https://wiki.helixforge.internal/postmortems/INC-2026-09-0005.md,34621
INC-2026-09-0006,2026-002-10,"P2 - Minor Component Issue","BGP Route Flapping",Vector Engine API,2,215,NO,"Tariq Hale",https://wiki.helixforge.internal/postmortems/INC-2026-09-0006.md,0
INC-2026-09-0007,2026-002-25,"P1 - Major Degradation","Database Connection Pool Exhaustion",Expensify Sync,22,132,NO,"Siddharth Kim",https://wiki.helixforge.internal/postmortems/INC-2026-09-0007.md,0
INC-2026-09-0008,2026-004-03,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,9,119,NO,"Liam Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-09-0008.md,0
INC-2026-09-0009,2026-004-07,"P1 - Major Degradation","Expired TLS Certificate",Expensify Sync,19,188,NO,"Noah Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-09-0009.md,0
INC-2026-09-0010,2026-002-10,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Search Reranker,18,230,NO,"Mara Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-09-0010.md,0
INC-2026-09-0011,2026-004-13,"P0 - Critical Outage","Upstream Provider Outage",Search Reranker,14,63,YES (Credit Issued),"Carlos Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-09-0011.md,36863
INC-2026-09-0012,2026-006-04,"P0 - Critical Outage","Upstream Provider Outage",Expensify Sync,2,56,NO,"Dmitri Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-09-0012.md,0
INC-2026-09-0013,2026-003-26,"P0 - Critical Outage","Slurm GPU Out of Memory",Workday Single Sign-On,18,134,YES (Credit Issued),"Elena Nair",https://wiki.helixforge.internal/postmortems/INC-2026-09-0013.md,35681
INC-2026-09-0014,2026-006-27,"P0 - Critical Outage","Slurm GPU Out of Memory",Workday Single Sign-On,6,223,YES (Credit Issued),"Elena Patel",https://wiki.helixforge.internal/postmortems/INC-2026-09-0014.md,12838
INC-2026-09-0015,2026-003-10,"P0 - Critical Outage","Database Connection Pool Exhaustion",Workday Single Sign-On,25,236,YES (Credit Issued),"Ethan Kim",https://wiki.helixforge.internal/postmortems/INC-2026-09-0015.md,16324
INC-2026-09-0016,2026-002-15,"P0 - Critical Outage","Corrupted Vector Index Partition",Expensify Sync,9,48,NO,"Hannah Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-09-0016.md,0
INC-2026-09-0017,2026-006-18,"P0 - Critical Outage","BGP Route Flapping",Workday Single Sign-On,18,87,YES (Credit Issued),"Marcus Vance",https://wiki.helixforge.internal/postmortems/INC-2026-09-0017.md,38005
INC-2026-09-0018,2026-001-28,"P0 - Critical Outage","Upstream Provider Outage",Vector Engine API,25,36,NO,"Olivia Patel",https://wiki.helixforge.internal/postmortems/INC-2026-09-0018.md,0
INC-2026-09-0019,2026-001-25,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,17,216,YES (Credit Issued),"Noah Santos",https://wiki.helixforge.internal/postmortems/INC-2026-09-0019.md,44314
INC-2026-09-0020,2026-004-26,"P1 - Major Degradation","Expired TLS Certificate",Expensify Sync,18,166,NO,"Mina Silva",https://wiki.helixforge.internal/postmortems/INC-2026-09-0020.md,0
INC-2026-09-0021,2026-005-17,"P0 - Critical Outage","Upstream Provider Outage",Search Reranker,7,106,YES (Credit Issued),"Priya Lin",https://wiki.helixforge.internal/postmortems/INC-2026-09-0021.md,24209
INC-2026-09-0022,2026-003-22,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Vector Engine API,8,140,NO,"Kaito Kim",https://wiki.helixforge.internal/postmortems/INC-2026-09-0022.md,0
