incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url,financial_penalty_usd
INC-2026-01-0001,2026-006-24,"P0 - Critical Outage","Expired TLS Certificate",Vector Engine API,2,207,YES (Credit Issued),"Yuki Santos",https://wiki.helixforge.internal/postmortems/INC-2026-01-0001.md,49905
INC-2026-01-0002,2026-005-08,"P1 - Major Degradation","Expired TLS Certificate",Search Reranker,9,128,NO,"Elena Smith",https://wiki.helixforge.internal/postmortems/INC-2026-01-0002.md,0
INC-2026-01-0003,2026-001-20,"P2 - Minor Component Issue","Expired TLS Certificate",Workday Single Sign-On,23,154,NO,"Lars Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-01-0003.md,0
INC-2026-01-0004,2026-001-19,"P0 - Critical Outage","Corrupted Vector Index Partition",Search Reranker,23,21,NO,"Isla Smith",https://wiki.helixforge.internal/postmortems/INC-2026-01-0004.md,0
INC-2026-01-0005,2026-004-11,"P0 - Critical Outage","Corrupted Vector Index Partition",Vector Engine API,2,89,YES (Credit Issued),"Beatriz Kim",https://wiki.helixforge.internal/postmortems/INC-2026-01-0005.md,16668
INC-2026-01-0006,2026-003-07,"P1 - Major Degradation","Corrupted Vector Index Partition",Vector Engine API,2,176,NO,"Lucas Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-01-0006.md,0
INC-2026-01-0007,2026-005-15,"P0 - Critical Outage","Corrupted Vector Index Partition",Vector Engine API,7,22,NO,"Elena Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-01-0007.md,0
INC-2026-01-0008,2026-003-22,"P1 - Major Degradation","BGP Route Flapping",Vector Engine API,25,159,NO,"Lars Chen",https://wiki.helixforge.internal/postmortems/INC-2026-01-0008.md,0
INC-2026-01-0009,2026-001-21,"P1 - Major Degradation","Database Connection Pool Exhaustion",Expensify Sync,6,77,NO,"Sophia Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-01-0009.md,0
INC-2026-01-0010,2026-003-22,"P1 - Major Degradation","Database Connection Pool Exhaustion",Search Reranker,10,175,NO,"Olivia Mueller",https://wiki.helixforge.internal/postmortems/INC-2026-01-0010.md,0
INC-2026-01-0011,2026-002-21,"P0 - Critical Outage","Database Connection Pool Exhaustion",Expensify Sync,8,223,YES (Credit Issued),"Mara Patel",https://wiki.helixforge.internal/postmortems/INC-2026-01-0011.md,31695
INC-2026-01-0012,2026-005-22,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Search Reranker,24,24,NO,"Lucas Moreau",https://wiki.helixforge.internal/postmortems/INC-2026-01-0012.md,0
INC-2026-01-0013,2026-006-03,"P0 - Critical Outage","Database Connection Pool Exhaustion",Search Reranker,17,128,YES (Credit Issued),"Elena Chen",https://wiki.helixforge.internal/postmortems/INC-2026-01-0013.md,26728
INC-2026-01-0014,2026-006-22,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Expensify Sync,11,147,NO,"Mina Chen",https://wiki.helixforge.internal/postmortems/INC-2026-01-0014.md,0
INC-2026-01-0015,2026-005-21,"P2 - Minor Component Issue","Expired TLS Certificate",Vector Engine API,5,234,NO,"Devon Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-01-0015.md,0
INC-2026-01-0016,2026-006-24,"P2 - Minor Component Issue","BGP Route Flapping",Workday Single Sign-On,15,231,NO,"Raj Watanabe",https://wiki.helixforge.internal/postmortems/INC-2026-01-0016.md,0
