incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url,financial_penalty_usd
INC-2026-10-0001,2026-006-11,"P1 - Major Degradation","Slurm GPU Out of Memory",Search Reranker,6,175,NO,"Mara Voss",https://wiki.helixforge.internal/postmortems/INC-2026-10-0001.md,0
INC-2026-10-0002,2026-005-18,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Vector Engine API,20,37,NO,"Tariq Hoffmann",https://wiki.helixforge.internal/postmortems/INC-2026-10-0002.md,0
INC-2026-10-0003,2026-006-06,"P1 - Major Degradation","Slurm GPU Out of Memory",Vector Engine API,15,199,NO,"Carlos Silva",https://wiki.helixforge.internal/postmortems/INC-2026-10-0003.md,0
INC-2026-10-0004,2026-002-05,"P2 - Minor Component Issue","Expired TLS Certificate",Search Reranker,7,104,NO,"Mara Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-10-0004.md,0
INC-2026-10-0005,2026-002-17,"P1 - Major Degradation","Slurm GPU Out of Memory",Search Reranker,4,53,NO,"Ava Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-10-0005.md,0
INC-2026-10-0006,2026-005-09,"P2 - Minor Component Issue","Upstream Provider Outage",Expensify Sync,6,35,NO,"Dominic O'Connor",https://wiki.helixforge.internal/postmortems/INC-2026-10-0006.md,0
INC-2026-10-0007,2026-001-17,"P1 - Major Degradation","Slurm GPU Out of Memory",Expensify Sync,15,202,NO,"Olivia Nair",https://wiki.helixforge.internal/postmortems/INC-2026-10-0007.md,0
INC-2026-10-0008,2026-003-28,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,25,147,YES (Credit Issued),"Elena Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-10-0008.md,22237
INC-2026-10-0009,2026-004-07,"P0 - Critical Outage","Database Connection Pool Exhaustion",Search Reranker,24,42,NO,"Sarah Nair",https://wiki.helixforge.internal/postmortems/INC-2026-10-0009.md,0
INC-2026-10-0010,2026-005-28,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Search Reranker,19,29,NO,"Siddharth Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-10-0010.md,0
INC-2026-10-0011,2026-002-17,"P1 - Major Degradation","Upstream Provider Outage",Workday Single Sign-On,7,175,NO,"Priya Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-10-0011.md,0
INC-2026-10-0012,2026-002-03,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Expensify Sync,5,230,NO,"Zoe Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-10-0012.md,0
INC-2026-10-0013,2026-004-21,"P1 - Major Degradation","Database Connection Pool Exhaustion",Search Reranker,16,116,NO,"Marcus Voss",https://wiki.helixforge.internal/postmortems/INC-2026-10-0013.md,0
INC-2026-10-0014,2026-004-05,"P1 - Major Degradation","Corrupted Vector Index Partition",Workday Single Sign-On,25,126,NO,"Tariq Hoffmann",https://wiki.helixforge.internal/postmortems/INC-2026-10-0014.md,0
INC-2026-10-0015,2026-002-05,"P1 - Major Degradation","Corrupted Vector Index Partition",Vector Engine API,13,189,NO,"Beatriz Nair",https://wiki.helixforge.internal/postmortems/INC-2026-10-0015.md,0
INC-2026-10-0016,2026-003-01,"P0 - Critical Outage","Upstream Provider Outage",Vector Engine API,5,173,YES (Credit Issued),"Sophia Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-10-0016.md,10688
INC-2026-10-0017,2026-006-25,"P1 - Major Degradation","Expired TLS Certificate",Search Reranker,14,202,NO,"Mei-Ling Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-10-0017.md,0
INC-2026-10-0018,2026-003-25,"P0 - Critical Outage","Corrupted Vector Index Partition",Vector Engine API,22,57,NO,"Kaito Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-10-0018.md,0
INC-2026-10-0019,2026-006-24,"P1 - Major Degradation","Upstream Provider Outage",Search Reranker,14,136,NO,"Aisha Novak",https://wiki.helixforge.internal/postmortems/INC-2026-10-0019.md,0
INC-2026-10-0020,2026-005-22,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,8,65,YES (Credit Issued),"Sophia Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-10-0020.md,46097
INC-2026-10-0021,2026-002-15,"P0 - Critical Outage","BGP Route Flapping",Search Reranker,2,67,YES (Credit Issued),"Matteo Mueller",https://wiki.helixforge.internal/postmortems/INC-2026-10-0021.md,22223
INC-2026-10-0022,2026-002-26,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,19,93,YES (Credit Issued),"Mara Hale",https://wiki.helixforge.internal/postmortems/INC-2026-10-0022.md,10789
INC-2026-10-0023,2026-003-12,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,10,120,YES (Credit Issued),"Ethan Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-10-0023.md,42767
INC-2026-10-0024,2026-006-26,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Vector Engine API,17,59,NO,"Beatriz Kim",https://wiki.helixforge.internal/postmortems/INC-2026-10-0024.md,0
INC-2026-10-0025,2026-003-25,"P0 - Critical Outage","Database Connection Pool Exhaustion",Expensify Sync,16,134,YES (Credit Issued),"Olivia Hale",https://wiki.helixforge.internal/postmortems/INC-2026-10-0025.md,27407
INC-2026-10-0026,2026-005-26,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,9,230,NO,"Matteo Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-10-0026.md,0
INC-2026-10-0027,2026-002-21,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Expensify Sync,23,114,NO,"Dominic Wong",https://wiki.helixforge.internal/postmortems/INC-2026-10-0027.md,0
INC-2026-10-0028,2026-005-10,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Workday Single Sign-On,13,167,NO,"Raj Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-10-0028.md,0
INC-2026-10-0029,2026-003-20,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Workday Single Sign-On,22,211,NO,"Dominic O'Connor",https://wiki.helixforge.internal/postmortems/INC-2026-10-0029.md,0
INC-2026-10-0030,2026-001-08,"P0 - Critical Outage","BGP Route Flapping",Workday Single Sign-On,4,33,NO,"Yuki Patel",https://wiki.helixforge.internal/postmortems/INC-2026-10-0030.md,0
INC-2026-10-0031,2026-002-11,"P2 - Minor Component Issue","Upstream Provider Outage",Vector Engine API,14,164,NO,"Lucas Lin",https://wiki.helixforge.internal/postmortems/INC-2026-10-0031.md,0
INC-2026-10-0032,2026-005-06,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,14,192,NO,"Chloe Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-10-0032.md,0
INC-2026-10-0033,2026-004-23,"P1 - Major Degradation","Upstream Provider Outage",Expensify Sync,14,198,NO,"Viktor Chen",https://wiki.helixforge.internal/postmortems/INC-2026-10-0033.md,0
INC-2026-10-0034,2026-002-22,"P0 - Critical Outage","Corrupted Vector Index Partition",Workday Single Sign-On,22,56,NO,"Kaito Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-10-0034.md,0
INC-2026-10-0035,2026-001-08,"P2 - Minor Component Issue","BGP Route Flapping",Workday Single Sign-On,5,238,NO,"Noah Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-10-0035.md,0
INC-2026-10-0036,2026-006-08,"P1 - Major Degradation","Upstream Provider Outage",Expensify Sync,17,226,NO,"Gabriel Wong",https://wiki.helixforge.internal/postmortems/INC-2026-10-0036.md,0
INC-2026-10-0037,2026-005-10,"P0 - Critical Outage","Expired TLS Certificate",Expensify Sync,24,96,YES (Credit Issued),"Olivia Novak",https://wiki.helixforge.internal/postmortems/INC-2026-10-0037.md,30993
INC-2026-10-0038,2026-006-09,"P2 - Minor Component Issue","Upstream Provider Outage",Expensify Sync,9,132,NO,"Priya Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-10-0038.md,0
INC-2026-10-0039,2026-004-26,"P1 - Major Degradation","Slurm GPU Out of Memory",Expensify Sync,4,104,NO,"Soren Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-10-0039.md,0
