secret_path,secret_type,target_service,rotation_frequency_days,last_rotated_timestamp,next_rotation_due,rotation_mechanism,rotation_lead,audit_status,vault_cluster_id
"kv/prod/service-001/credentials","API Bearer Token","microservice-runtime-v2",90,"2026-05-19T10:00:00Z","2026-06-28T10:00:00Z","Automated HashiCorp Vault Plugin","Lars Mueller","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-002/credentials","AWS IAM Credentials","microservice-runtime-v3",30,"2026-05-01T10:00:00Z","2026-06-17T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Kim","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-003/credentials","API Bearer Token","microservice-runtime-v4",90,"2026-05-24T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Mina Novak","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-004/credentials","Database Master Password","microservice-runtime-v5",30,"2026-05-27T10:00:00Z","2026-06-28T10:00:00Z","Manual YubiKey Escrow Procedure","Ethan Kovacs","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-005/credentials","TLS Private Key","microservice-runtime-v6",90,"2026-05-16T10:00:00Z","2026-06-17T10:00:00Z","Automated HashiCorp Vault Plugin","Chloe Vance","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-006/credentials","SSH CA Signing Key","microservice-runtime-v7",90,"2026-05-01T10:00:00Z","2026-06-08T10:00:00Z","Automated HashiCorp Vault Plugin","Noah Johnson","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-007/credentials","Database Master Password","microservice-runtime-v8",30,"2026-05-03T10:00:00Z","2026-06-04T10:00:00Z","Automated HashiCorp Vault Plugin","Mina Novak","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-008/credentials","SSH CA Signing Key","microservice-runtime-v9",90,"2026-05-21T10:00:00Z","2026-06-24T10:00:00Z","Manual YubiKey Escrow Procedure","Marcus Moreau","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-009/credentials","API Bearer Token","microservice-runtime-v10",90,"2026-05-28T10:00:00Z","2026-06-01T10:00:00Z","Automated HashiCorp Vault Plugin","Beatriz Chen","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-07"
"kv/prod/service-010/credentials","SSH CA Signing Key","microservice-runtime-v1",90,"2026-05-26T10:00:00Z","2026-06-10T10:00:00Z","Automated HashiCorp Vault Plugin","Aris Kovacs","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-011/credentials","API Bearer Token","microservice-runtime-v2",90,"2026-05-06T10:00:00Z","2026-06-25T10:00:00Z","Automated HashiCorp Vault Plugin","Aisha Thorne","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-012/credentials","API Bearer Token","microservice-runtime-v3",90,"2026-05-18T10:00:00Z","2026-06-11T10:00:00Z","Manual YubiKey Escrow Procedure","Soren O'Connor","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-013/credentials","TLS Private Key","microservice-runtime-v4",90,"2026-05-23T10:00:00Z","2026-06-26T10:00:00Z","Automated HashiCorp Vault Plugin","Lucas Lindqvist","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-014/credentials","SSH CA Signing Key","microservice-runtime-v5",90,"2026-05-17T10:00:00Z","2026-06-22T10:00:00Z","Automated HashiCorp Vault Plugin","Marcus Nair","COMPLIANT_ROTATED","VAULT-PROD-07"
"kv/prod/service-015/credentials","TLS Private Key","microservice-runtime-v6",90,"2026-05-07T10:00:00Z","2026-06-24T10:00:00Z","Automated HashiCorp Vault Plugin","Dmitri Chen","COMPLIANT_ROTATED","VAULT-PROD-07"
