metric_name,metric_type,service_owner,alert_p99_threshold,alert_evaluation_window,pagerduty_escalation_policy,dashboard_panel_id
helixforge_vector_index_search_latency_seconds_prod-austin,histogram,Vector Engine,0.250s,5m,PD-POLICY-P0-IMMEDIATE,DASH-GRAFANA-618
helixforge_vector_index_search_latency_seconds_prod-dublin,histogram,Finance & Procurement,0.250s,5m,PD-POLICY-P0-IMMEDIATE,DASH-GRAFANA-511
helixforge_vector_index_search_latency_seconds_prod-singapore,histogram,Customer Solutions,0.250s,5m,PD-POLICY-P0-IMMEDIATE,DASH-GRAFANA-469
helixforge_gpu_memory_utilization_ratio_prod-austin,gauge,Product Design,0.95,5m,PD-POLICY-P2-WARNING,DASH-GRAFANA-374
helixforge_gpu_memory_utilization_ratio_prod-dublin,gauge,People Ops,0.95,5m,PD-POLICY-P2-WARNING,DASH-GRAFANA-659
helixforge_gpu_memory_utilization_ratio_prod-singapore,gauge,Core Retrieval,0.95,5m,PD-POLICY-P2-WARNING,DASH-GRAFANA-158
helixforge_api_http_5xx_error_count_prod-austin,gauge,People Ops,5,5m,PD-POLICY-P0-IMMEDIATE,DASH-GRAFANA-933
helixforge_api_http_5xx_error_count_prod-dublin,gauge,Product Design,5,5m,PD-POLICY-P0-IMMEDIATE,DASH-GRAFANA-277
helixforge_api_http_5xx_error_count_prod-singapore,gauge,Customer Solutions,5,5m,PD-POLICY-P0-IMMEDIATE,DASH-GRAFANA-871
helixforge_slurm_queue_waiting_jobs_total_prod-austin,gauge,Security & Compliance,5,5m,PD-POLICY-P2-WARNING,DASH-GRAFANA-321
helixforge_slurm_queue_waiting_jobs_total_prod-dublin,gauge,Security & Compliance,5,5m,PD-POLICY-P2-WARNING,DASH-GRAFANA-520
helixforge_slurm_queue_waiting_jobs_total_prod-singapore,gauge,Product Design,5,5m,PD-POLICY-P2-WARNING,DASH-GRAFANA-955
helixforge_chroma_collection_node_count_prod-austin,gauge,Finance & Procurement,5,5m,PD-POLICY-P2-WARNING,DASH-GRAFANA-347
helixforge_chroma_collection_node_count_prod-dublin,gauge,People Ops,5,5m,PD-POLICY-P2-WARNING,DASH-GRAFANA-962
helixforge_chroma_collection_node_count_prod-singapore,gauge,Infra & DevOps,5,5m,PD-POLICY-P2-WARNING,DASH-GRAFANA-468
