secret_path,secret_type,target_service,rotation_frequency_days,last_rotated_timestamp,next_rotation_due,rotation_mechanism,rotation_lead,audit_status,vault_cluster_id
"kv/prod/service-001/credentials","API Bearer Token","microservice-runtime-v2",90,"2026-05-10T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Devon Smith","COMPLIANT_ROTATED","VAULT-PROD-02"
"kv/prod/service-002/credentials","TLS Private Key","microservice-runtime-v3",90,"2026-05-21T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Noah Nguyen","COMPLIANT_ROTATED","VAULT-PROD-02"
"kv/prod/service-003/credentials","AWS IAM Credentials","microservice-runtime-v4",30,"2026-05-12T10:00:00Z","2026-06-13T10:00:00Z","Automated HashiCorp Vault Plugin","Raj Dubois","COMPLIANT_ROTATED","VAULT-PROD-02"
"kv/prod/service-004/credentials","API Bearer Token","microservice-runtime-v5",90,"2026-05-15T10:00:00Z","2026-06-14T10:00:00Z","Manual YubiKey Escrow Procedure","Mara Moreau","COMPLIANT_ROTATED","VAULT-PROD-02"
"kv/prod/service-005/credentials","AWS IAM Credentials","microservice-runtime-v6",30,"2026-05-21T10:00:00Z","2026-06-21T10:00:00Z","Automated HashiCorp Vault Plugin","Noah Al-Mansoor","COMPLIANT_ROTATED","VAULT-PROD-02"
"kv/prod/service-006/credentials","AWS IAM Credentials","microservice-runtime-v7",30,"2026-05-16T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Carlos Wong","COMPLIANT_ROTATED","VAULT-PROD-02"
"kv/prod/service-007/credentials","Database Master Password","microservice-runtime-v8",30,"2026-05-04T10:00:00Z","2026-06-01T10:00:00Z","Automated HashiCorp Vault Plugin","Xavier Wong","COMPLIANT_ROTATED","VAULT-PROD-02"
"kv/prod/service-008/credentials","Database Master Password","microservice-runtime-v9",30,"2026-05-20T10:00:00Z","2026-06-18T10:00:00Z","Manual YubiKey Escrow Procedure","Soren Nguyen","COMPLIANT_ROTATED","VAULT-PROD-02"
"kv/prod/service-009/credentials","SSH CA Signing Key","microservice-runtime-v10",90,"2026-05-01T10:00:00Z","2026-06-08T10:00:00Z","Automated HashiCorp Vault Plugin","Sarah Novak","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-02"
"kv/prod/service-010/credentials","SSH CA Signing Key","microservice-runtime-v1",90,"2026-05-14T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Raj Novak","COMPLIANT_ROTATED","VAULT-PROD-02"
"kv/prod/service-011/credentials","SSH CA Signing Key","microservice-runtime-v2",90,"2026-05-01T10:00:00Z","2026-06-25T10:00:00Z","Automated HashiCorp Vault Plugin","Noah Moreau","COMPLIANT_ROTATED","VAULT-PROD-02"
