incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url,financial_penalty_usd
INC-2026-07-0001,2026-004-10,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Search Reranker,12,151,NO,"Mei-Ling Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-07-0001.md,0
INC-2026-07-0002,2026-005-16,"P2 - Minor Component Issue","Expired TLS Certificate",Expensify Sync,16,173,NO,"Liam Moreau",https://wiki.helixforge.internal/postmortems/INC-2026-07-0002.md,0
INC-2026-07-0003,2026-004-11,"P2 - Minor Component Issue","Upstream Provider Outage",Vector Engine API,11,97,NO,"Aisha Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-07-0003.md,0
INC-2026-07-0004,2026-001-28,"P0 - Critical Outage","Database Connection Pool Exhaustion",Search Reranker,5,58,NO,"Aisha Smith",https://wiki.helixforge.internal/postmortems/INC-2026-07-0004.md,0
INC-2026-07-0005,2026-003-27,"P0 - Critical Outage","Corrupted Vector Index Partition",Expensify Sync,6,194,YES (Credit Issued),"Tariq Lin",https://wiki.helixforge.internal/postmortems/INC-2026-07-0005.md,33584
INC-2026-07-0006,2026-005-13,"P1 - Major Degradation","Slurm GPU Out of Memory",Expensify Sync,23,158,NO,"Noah Watanabe",https://wiki.helixforge.internal/postmortems/INC-2026-07-0006.md,0
INC-2026-07-0007,2026-002-15,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Vector Engine API,10,49,NO,"Yuki Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-07-0007.md,0
INC-2026-07-0008,2026-005-23,"P1 - Major Degradation","Database Connection Pool Exhaustion",Expensify Sync,5,154,NO,"Zoe Hale",https://wiki.helixforge.internal/postmortems/INC-2026-07-0008.md,0
INC-2026-07-0009,2026-003-17,"P2 - Minor Component Issue","BGP Route Flapping",Vector Engine API,14,25,NO,"Hannah Hoffmann",https://wiki.helixforge.internal/postmortems/INC-2026-07-0009.md,0
INC-2026-07-0010,2026-001-28,"P2 - Minor Component Issue","Upstream Provider Outage",Workday Single Sign-On,14,52,NO,"Kaito Hale",https://wiki.helixforge.internal/postmortems/INC-2026-07-0010.md,0
INC-2026-07-0011,2026-005-05,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Search Reranker,22,33,NO,"Devon Kim",https://wiki.helixforge.internal/postmortems/INC-2026-07-0011.md,0
