incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url
INC-2026-04-0001,2026-006-18,"P1 - Major Degradation","Slurm GPU Out of Memory",Expensify Sync,12,233,NO,"Chen Vance",https://wiki.helixforge.internal/postmortems/INC-2026-04-0001.md
INC-2026-04-0002,2026-004-04,"P1 - Major Degradation","BGP Route Flapping",Vector Engine API,16,22,NO,"Fatima Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-04-0002.md
INC-2026-04-0003,2026-003-16,"P0 - Critical Outage","Slurm GPU Out of Memory",Search Reranker,21,115,YES (Credit Issued),"Priya Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0003.md
INC-2026-04-0004,2026-004-18,"P1 - Major Degradation","Slurm GPU Out of Memory",Expensify Sync,4,52,NO,"Ava Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-04-0004.md
INC-2026-04-0005,2026-006-19,"P2 - Minor Component Issue","Upstream Provider Outage",Workday Single Sign-On,22,64,NO,"Zoe Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0005.md
INC-2026-04-0006,2026-004-20,"P0 - Critical Outage","Corrupted Vector Index Partition",Search Reranker,12,130,YES (Credit Issued),"Devon Hale",https://wiki.helixforge.internal/postmortems/INC-2026-04-0006.md
INC-2026-04-0007,2026-004-21,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,4,113,YES (Credit Issued),"Aris Santos",https://wiki.helixforge.internal/postmortems/INC-2026-04-0007.md
INC-2026-04-0008,2026-005-28,"P1 - Major Degradation","Upstream Provider Outage",Expensify Sync,4,169,NO,"Ava Santos",https://wiki.helixforge.internal/postmortems/INC-2026-04-0008.md
INC-2026-04-0009,2026-005-09,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Search Reranker,4,233,NO,"Ethan Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-04-0009.md
INC-2026-04-0010,2026-002-09,"P1 - Major Degradation","Slurm GPU Out of Memory",Vector Engine API,23,36,NO,"Matteo Mueller",https://wiki.helixforge.internal/postmortems/INC-2026-04-0010.md
INC-2026-04-0011,2026-006-06,"P0 - Critical Outage","Database Connection Pool Exhaustion",Expensify Sync,15,215,YES (Credit Issued),"Aris Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-04-0011.md
