secret_path,secret_type,target_service,rotation_frequency_days,last_rotated_timestamp,next_rotation_due,rotation_mechanism,rotation_lead,audit_status,vault_cluster_id
"kv/prod/service-001/credentials","TLS Private Key","microservice-runtime-v2",90,"2026-05-06T10:00:00Z","2026-06-05T10:00:00Z","Automated HashiCorp Vault Plugin","Aisha Mueller","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-002/credentials","TLS Private Key","microservice-runtime-v3",90,"2026-05-19T10:00:00Z","2026-06-02T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Nguyen","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-003/credentials","TLS Private Key","microservice-runtime-v4",90,"2026-05-05T10:00:00Z","2026-06-13T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Garcia","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-004/credentials","API Bearer Token","microservice-runtime-v5",90,"2026-05-08T10:00:00Z","2026-06-10T10:00:00Z","Manual YubiKey Escrow Procedure","Aisha Wong","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-005/credentials","SSH CA Signing Key","microservice-runtime-v6",90,"2026-05-07T10:00:00Z","2026-06-01T10:00:00Z","Automated HashiCorp Vault Plugin","Aisha Smith","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-006/credentials","AWS IAM Credentials","microservice-runtime-v7",30,"2026-05-28T10:00:00Z","2026-06-12T10:00:00Z","Automated HashiCorp Vault Plugin","Dmitri Dubois","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-007/credentials","SSH CA Signing Key","microservice-runtime-v8",90,"2026-05-20T10:00:00Z","2026-06-13T10:00:00Z","Automated HashiCorp Vault Plugin","Mara Vance","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-008/credentials","SSH CA Signing Key","microservice-runtime-v9",90,"2026-05-08T10:00:00Z","2026-06-21T10:00:00Z","Manual YubiKey Escrow Procedure","Siddharth Hoffmann","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-009/credentials","Database Master Password","microservice-runtime-v10",30,"2026-05-18T10:00:00Z","2026-06-13T10:00:00Z","Automated HashiCorp Vault Plugin","Matteo Kovacs","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-08"
"kv/prod/service-010/credentials","API Bearer Token","microservice-runtime-v1",90,"2026-05-13T10:00:00Z","2026-06-24T10:00:00Z","Automated HashiCorp Vault Plugin","Xavier Hale","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-011/credentials","API Bearer Token","microservice-runtime-v2",90,"2026-05-07T10:00:00Z","2026-06-10T10:00:00Z","Automated HashiCorp Vault Plugin","Tariq Tanaka","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-012/credentials","AWS IAM Credentials","microservice-runtime-v3",30,"2026-05-01T10:00:00Z","2026-06-15T10:00:00Z","Manual YubiKey Escrow Procedure","Sarah Tanaka","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-013/credentials","SSH CA Signing Key","microservice-runtime-v4",90,"2026-05-01T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Fatima Kovacs","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-014/credentials","AWS IAM Credentials","microservice-runtime-v5",30,"2026-05-06T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Dmitri Watanabe","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-015/credentials","Database Master Password","microservice-runtime-v6",30,"2026-05-05T10:00:00Z","2026-06-07T10:00:00Z","Automated HashiCorp Vault Plugin","Marcus O'Connor","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-016/credentials","API Bearer Token","microservice-runtime-v7",90,"2026-05-22T10:00:00Z","2026-06-10T10:00:00Z","Manual YubiKey Escrow Procedure","Noah Nair","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-017/credentials","Database Master Password","microservice-runtime-v8",30,"2026-05-01T10:00:00Z","2026-06-15T10:00:00Z","Automated HashiCorp Vault Plugin","Hannah Al-Mansoor","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-018/credentials","API Bearer Token","microservice-runtime-v9",90,"2026-05-19T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Hannah Tanaka","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-08"
"kv/prod/service-019/credentials","TLS Private Key","microservice-runtime-v10",90,"2026-05-17T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Lucas Wong","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-020/credentials","Database Master Password","microservice-runtime-v1",30,"2026-05-25T10:00:00Z","2026-06-10T10:00:00Z","Manual YubiKey Escrow Procedure","Kaito Tanaka","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-021/credentials","API Bearer Token","microservice-runtime-v2",90,"2026-05-27T10:00:00Z","2026-06-24T10:00:00Z","Automated HashiCorp Vault Plugin","Raj Garcia","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-022/credentials","Database Master Password","microservice-runtime-v3",30,"2026-05-13T10:00:00Z","2026-06-23T10:00:00Z","Automated HashiCorp Vault Plugin","Dominic Lindqvist","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-023/credentials","API Bearer Token","microservice-runtime-v4",90,"2026-05-22T10:00:00Z","2026-06-08T10:00:00Z","Automated HashiCorp Vault Plugin","Lars Novak","COMPLIANT_ROTATED","VAULT-PROD-08"
"kv/prod/service-024/credentials","AWS IAM Credentials","microservice-runtime-v5",30,"2026-05-06T10:00:00Z","2026-06-01T10:00:00Z","Manual YubiKey Escrow Procedure","Aisha Al-Mansoor","COMPLIANT_ROTATED","VAULT-PROD-08"
