secret_path,secret_type,target_service,rotation_frequency_days,last_rotated_timestamp,next_rotation_due,rotation_mechanism,rotation_lead,audit_status,vault_cluster_id
"kv/prod/service-001/credentials","SSH CA Signing Key","microservice-runtime-v2",90,"2026-05-22T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Carlos Zhao","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-002/credentials","AWS IAM Credentials","microservice-runtime-v3",30,"2026-05-15T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Hannah Patel","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-003/credentials","API Bearer Token","microservice-runtime-v4",90,"2026-05-13T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Aisha Watanabe","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-004/credentials","SSH CA Signing Key","microservice-runtime-v5",90,"2026-05-23T10:00:00Z","2026-06-28T10:00:00Z","Manual YubiKey Escrow Procedure","Dmitri Novak","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-005/credentials","AWS IAM Credentials","microservice-runtime-v6",30,"2026-05-21T10:00:00Z","2026-06-11T10:00:00Z","Automated HashiCorp Vault Plugin","Raj O'Connor","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-006/credentials","AWS IAM Credentials","microservice-runtime-v7",30,"2026-05-08T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Devon Moreau","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-007/credentials","API Bearer Token","microservice-runtime-v8",90,"2026-05-13T10:00:00Z","2026-06-25T10:00:00Z","Automated HashiCorp Vault Plugin","Priya Patel","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-008/credentials","SSH CA Signing Key","microservice-runtime-v9",90,"2026-05-23T10:00:00Z","2026-06-28T10:00:00Z","Manual YubiKey Escrow Procedure","Matteo Patel","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-009/credentials","SSH CA Signing Key","microservice-runtime-v10",90,"2026-05-10T10:00:00Z","2026-06-11T10:00:00Z","Automated HashiCorp Vault Plugin","Liam Nguyen","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-04"
"kv/prod/service-010/credentials","TLS Private Key","microservice-runtime-v1",90,"2026-05-28T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Mara Voss","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-011/credentials","AWS IAM Credentials","microservice-runtime-v2",30,"2026-05-22T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Mei-Ling Chen","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-012/credentials","API Bearer Token","microservice-runtime-v3",90,"2026-05-18T10:00:00Z","2026-06-03T10:00:00Z","Manual YubiKey Escrow Procedure","Elena Novak","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-013/credentials","TLS Private Key","microservice-runtime-v4",90,"2026-05-28T10:00:00Z","2026-06-19T10:00:00Z","Automated HashiCorp Vault Plugin","Chen Chen","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-014/credentials","Database Master Password","microservice-runtime-v5",30,"2026-05-21T10:00:00Z","2026-06-13T10:00:00Z","Automated HashiCorp Vault Plugin","Lucas Patel","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-015/credentials","API Bearer Token","microservice-runtime-v6",90,"2026-05-06T10:00:00Z","2026-06-08T10:00:00Z","Automated HashiCorp Vault Plugin","Beatriz Kovacs","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-016/credentials","AWS IAM Credentials","microservice-runtime-v7",30,"2026-05-11T10:00:00Z","2026-06-24T10:00:00Z","Manual YubiKey Escrow Procedure","Chloe Mueller","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-017/credentials","Database Master Password","microservice-runtime-v8",30,"2026-05-06T10:00:00Z","2026-06-24T10:00:00Z","Automated HashiCorp Vault Plugin","Viktor Chen","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-018/credentials","Database Master Password","microservice-runtime-v9",30,"2026-05-16T10:00:00Z","2026-06-18T10:00:00Z","Automated HashiCorp Vault Plugin","Kaito Lindqvist","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-04"
"kv/prod/service-019/credentials","Database Master Password","microservice-runtime-v10",30,"2026-05-10T10:00:00Z","2026-06-28T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Lindqvist","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-020/credentials","SSH CA Signing Key","microservice-runtime-v1",90,"2026-05-07T10:00:00Z","2026-06-15T10:00:00Z","Manual YubiKey Escrow Procedure","Tariq O'Connor","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-021/credentials","TLS Private Key","microservice-runtime-v2",90,"2026-05-17T10:00:00Z","2026-06-16T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Patel","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-022/credentials","Database Master Password","microservice-runtime-v3",30,"2026-05-25T10:00:00Z","2026-06-01T10:00:00Z","Automated HashiCorp Vault Plugin","Beatriz Vance","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-023/credentials","AWS IAM Credentials","microservice-runtime-v4",30,"2026-05-24T10:00:00Z","2026-06-11T10:00:00Z","Automated HashiCorp Vault Plugin","Raj Wong","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-024/credentials","AWS IAM Credentials","microservice-runtime-v5",30,"2026-05-24T10:00:00Z","2026-06-01T10:00:00Z","Manual YubiKey Escrow Procedure","Viktor Joshi","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-025/credentials","TLS Private Key","microservice-runtime-v6",90,"2026-05-04T10:00:00Z","2026-06-12T10:00:00Z","Automated HashiCorp Vault Plugin","Mei-Ling Lindqvist","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-026/credentials","API Bearer Token","microservice-runtime-v7",90,"2026-05-20T10:00:00Z","2026-06-11T10:00:00Z","Automated HashiCorp Vault Plugin","Sophia Zhao","COMPLIANT_ROTATED","VAULT-PROD-04"
"kv/prod/service-027/credentials","AWS IAM Credentials","microservice-runtime-v8",30,"2026-05-21T10:00:00Z","2026-06-18T10:00:00Z","Automated HashiCorp Vault Plugin","Matteo Takahashi","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-04"
